"Marketplace / Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"VAT";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage";"Average Sales Price"
"Northstar Estación de Acoplamiento de Madera para Teléfono con Cajón Organizador de Escritorio para Marido Regalos de Cumpleaños para Hombres Papá Regalo Padre Dia del Padre Regalos COG: 10,62 / Price: 41,8";"B0F2T8BPK5";"PPD005";"6";"";"232,8";"";"-29,92";"-14,03";"";"-15,89";"";"";"";"";"-";"";"-62,47";"-63,72";"-40,38";"";"36,31";"36,31";"140,41";"";"15,60";"56,98";"29 457";"12,85";"168";"3,57";"38,80"
"Northstar Estación de Acoplamiento de Madera para Teléfono con Cajón Organizador de Escritorio para Marido Regalos de Cumpleaños para Hombres Papá Regalo Padre Dia del Padre Regalos COG: 10,62 / Price: 41,8";"B0F2T5SPFZ";"PPD004";"6";"";"238,4";"";"-13,97";"-13,97";"";"";"";"";"";"";"-";"";"-63,52";"-63,72";"-36,08";"";"61,11";"61,11";"160,91";"";"25,63";"95,90";"29 457";"5,86";"191";"3,14";"39,73"
"Northstar Soporte para Armas Montaje en Pared Exhibidores de sujeción Soporte Horizontal para Armas y Ganchos de Escopeta Almacene Cualquier Rifle Escopeta Madera Dura Diseño bifurcado (Wengué) COG: 4,71 / Price: 24,99";"B09QMLXZ27";"ARBI01";"4";"1";"99,96";"";"-2,83";"-2,83";"";"";"";"";"";"25,00";"";"-21,91";"-32,64";"-18,84";"-13,02";"";"10,72";"10,72";"42,58";"";"10,72";"56,90";"73 050";"2,83";"41";"9,76";"24,99"
"Northstar Bastidores de Armas horizontales | Soportes para armas de caza | Gancho para escopeta | Colgador de armas | Madera de fresno natural con gancho de metal COG: 6,27 / Price: 27,99";"B0BTTHD99C";"AR0008";"2";"";"53,98";"";"-3,19";"-3,19";"";"";"";"";"";"";"-";"";"-16,4";"-12,54";"-9,36";"";"12,49";"12,49";"34,39";"";"23,14";"99,60";"95 545";"5,91";"27";"7,41";"26,99"
"Soporte para Armas Montaje en Pared Exhibidores de sujeción Soporte Horizontal para Armas y Ganchos de Escopeta Almacene Cualquier Rifle Escopeta Madera Dura Gancho metalico (Wengué) COG: 5,85 / Price: 25,99";"B09QMK4HZF";"ARM0001";"2";"";"53,98";"";"";"";"";"";"";"";"";"";"-";"";"-16,81";"-11,7";"-9,36";"";"16,11";"16,11";"37,17";"";"29,84";"137,69";"32 415";"";"16";"12,50";"26,99"
"Northstar Soporte de Madera para Teléfono Móvil, Organizador de Mesita de Noche, Organizador de Escritorio para Marido, Regalos de Cumpleaños para Hombres Regalo Padre Dia del Padre Regalos COG: 0 / Price: 42,24";"B0DHH7P6QQ";"G4-DZI9-VU2J";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"359";"";"45";"";""
"Northstar Soporte de Carga para teléfonos móviles ceniceros Llaves Carteras y Relojes Hombres Seres Queridos ya Sea por su Aniversariodía Festivo o Solo como un Presente (Marrón) COG: 0 / Price: 0";"B07VC6GXYT";"14-0XE4-GZ9F";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"";""
"Soporte para Armas Montaje en Pared Exhibidores de sujeción Soporte Horizontal para Armas y Ganchos de Escopeta Almacene Cualquier Rifle Escopeta Madera Dura Gancho metalico (Wengué) COG: 5,85 / Price: 32,8";"B09QMK4HZF";"ARM001";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"32 415";"";"21";"";""
"Holzsteakbrett 30 x 20 Massiv Eiche Servier Grillplatte Naturdicke Schneidplatte - Langlebig & Qualität (Small) COG: 8,85 / Price: 24,8";"B07QS323RP";"5L-OS15-NL0S";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"9";"";""
"Northstar Regalo para Hombres Soporte de Carga móviles con Ganchos para teléfonos Organizador móviles de Ceniza Natural Hombres Queridos Regalo para Esposo Esposa (Wengué) COG: 14,05 / Price: 28,75";"B0881MZGCF";"CJ-HT4E-OKZV";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"24";"";""
"Northstar Holz Doppelte Telefon Dockingstation Nussbaum Geldbörsenständer Schlüsselhalter & Uhren Organisator Herren Weihnachten Geschenk Ehemann Ehefrau Vater Geburtstag Vater Mann Gadgets (Bronze) COG: 0 / Price: 56,8";"B084G88WDC";"FW-DHFX-U2R4";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";""
"Snijplank van hout, 35 x 25 cm, steakbord, snijplank voor het serveren van vlees, voor burgers, kaas, grill, friet, dienblad van hout, keukenplank, accessoires voor de keuken COG: 0 / Price: 25,8";"B0BQCSFHQH";"KB0004";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";""
"Northstar Soporte para tabla de surf, madera de fresno, pantalla ecológica, acabado natural, tabla de snowboard, wakeboard, marrón grande COG: 13,52 / Price: 25";"B0BX49F4HG";"AS0004";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-1,31";"";"";"";"-1,31";"-1,31";"-1,31";"";"";"";"194 862";"";"";"";""
"Northstar Soporte para armas Montaje en pared Exhibidores de sujeción Soporte horizontal para armas y ganchos de escopeta Almacene cualquier rifle Escopeta Madera dura (Marrón) COG: 10,14 / Price: 32,8";"B09J8W13DK";"EG-RY08-XTU8";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"14 842";"";"4";"";""
"Northstar Soporte para armas Montaje en pared Exhibidores de sujeción Soporte horizontal para armas y ganchos de escopeta Almacene cualquier rifle Escopeta Madera dura COG: 4,48 / Price: 24,52";"B0B6WC5SST";"XV-BOT3-21US";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"14 842";"";"5";"";""
"Northstar Soporte para armas Montaje en pared Exhibidores de sujeción Soporte horizontal para armas y ganchos de escopeta Almacene cualquier rifle Escopeta Madera dura (Marrón) COG: 10,14 / Price: 25,14";"B09J8W13DK";"DC-9UBV-6D8X";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"14 842";"";"";"";""
"Amazon.fr";"";"";"319";"10";"10 415,77";"";"-1 950,61";"-1 946,87";"-3,74";"";"";"";"";"3,13";"";"-275,1";"-3 571,17";"-2 108,42";"-1 639,03";"-69,06";"760,17";"604,61";"4 480,63";"-155,56";"5,80";"28,68";"951 669";"18,73";"7 231";"4,41";"32,65"
"Northstar Cadeau Homme – Organisateur de Bureau en Bois avec Support Téléphone et Montre, Station d’Accueil, Docking Station, Support Montre, Idée Cadeau Papa Anniversaire, Fête des Pères, Noël - Beige COG: 6,12 / Price: 36,8";"B08YJ5Y672";"PP0006";"65";"3";"2 346,73";"";"-463,95";"-463,95";"";"";"";"";"";"4,62";"";"-92,43";"-755,53";"-406,9";"-374,24";"-11,79";"219,58";"219,58";"1 000,72";"";"9,36";"53,96";"4 122";"19,77";"1 547";"4,20";"36,10"
"Northstar Cadeau Homme – Organisateur de Bureau en Bois avec Support Téléphone et Montre, Station d’Accueil, Docking Station, Support Montre, Idée Cadeau Papa Anniversaire, Fête des Pères - Marron COG: 6,12 / Price: 36,8";"B08YJR9HDL";"PP0005";"33";"1";"1 137";"";"-467,07";"-467,07";"";"";"";"";"";"3,03";"-";"-23,27";"-338,84";"-210,21";"-180,72";"-9,14";"-99,74";"-99,74";"284,82";"";"-8,77";"-47,45";"4 122";"41,08";"1 448";"2,28";"34,45"
"Northstar Cadeau Homme – Organisateur de Bureau en Bois avec Support Téléphone et Montre, Station d’Accueil, Docking Station, Support Montre, Idée Cadeau Papa Anniversaire, Fête des Pères, Noir COG: 6,12 / Price: 35,8";"B09FSZYGB4";"PP0007";"31";"";"934,34";"";"-149,64";"-149,64";"";"";"";"";"";"";"-";"";"-338,8";"-194,06";"-155,80";"";"93,55";"93,55";"443,41";"";"10,01";"48,21";"4 122";"16,02";"660";"4,70";"30,14"
"Tasse de bière en bois de chêne fait à la main Tasse en acier inoxydable Naturel et écologique 0.6 litre 20 onces Barrel Brown COG: 6,54 / Price: 29,8";"B01LNOBGRM";"3I-GOR9-I5Y7";"20";"";"597";"";"-81,31";"-81,31";"";"";"";"";"";"";"-";"";"-219,07";"-142";"-99,56";"";"55,06";"55,06";"296,62";"";"9,22";"38,77";"165 960";"13,62";"195";"10,26";"29,85"
"Chope à bière avec intérieur en acier inoxydable faite à la main 0.6 litre/Produit écologique en bois naturel en couleur marron foncé classique COG: 6,59 / Price: 29,8";"B01LYB4PKO";"69-YT0R-2WCS";"19";"";"564,71";"";"-92,68";"-92,68";"";"";"";"";"";"";"-";"";"-206,22";"-134,9";"-94,18";"";"36,73";"36,73";"265,81";"";"6,50";"27,23";"173 394";"16,41";"215";"8,84";"29,72"
"Northstar Chope à bière Viking 0.6 | Fait main | Noël Cadeau | Cadeau pour Hommes | en métal inoxydable | Verre a biere | Arbre de la vie | Сhêne | Mug Viking | Nordique COG: 7,01 / Price: 34,8";"B0CP2C594Q";"BMP0010";"17";"1";"586,59";"";"-23,75";"-23,75";"";"";"";"";"";"5,88";"";"-38,59";"-187,1";"-119,17";"-91,97";"-3,32";"122,69";"122,69";"341,96";"";"20,92";"102,95";"42 356";"4,05";"278";"6,12";"34,51"
"Northstar Chope à Bière 0.6 | Choppe Biere | Cadeau Noël Homme | Choppe | Chope à Biere | Chope Biere Bois | Verre à Biere | Idée Cadeau Pour Homme | Cadeau Original | Chopé Bière Loup COG: 7,01 / Price: 34,8";"B0CN6XQ611";"BMP0009";"17";"2";"555,8";"";"-71,2";"-67,46";"-3,74";"";"";"";"";"11,76";"";"-54,03";"-198,61";"-119,17";"-52,06";"-6,60";"49,19";"49,19";"213,41";"";"8,85";"41,28";"142 288";"12,81";"209";"8,13";"32,69"
"Northstar Chope à Bière Viking en Bois de Chêne (0,6L) - Tasse Artisanale avec Intérieur en Acier Inoxydable, Idée Cadeau de Noël Originale pour Homme et Papa (Viking Marron) COG: 7,44 / Price: 35,8";"B0BRSMB6M9";"BMT003";"16";"";"554,8";"";"-18,16";"-18,16";"";"";"";"";"";"";"-";"";"-183,15";"-119,04";"-92,46";"";"141,99";"141,99";"353,49";"";"25,59";"119,28";"42 356";"3,27";"262";"6,11";"34,68"
"Northstar 0.6 Chopé Bière | Cadeau Biere | Tasse Viking | Choppe Viking | Cadeau Pour Noël | Cadeau Pour Homme | Chope à Bière | Choppe Biere | Viking Tasse | Verre Viking | Thor COG: 7,59 / Price: 34,8";"B0CN1J44VC";"BM0010";"14";"1";"484,68";"";"-191,91";"-191,91";"";"";"";"";"";"7,14";"";"-30,52";"-168,74";"-106,26";"-74,97";"-6,24";"-96,43";"-96,43";"84,8";"";"-19,90";"-90,75";"42 356";"39,60";"450";"3,11";"34,62"
"Northstar - Station d'accueil pour téléphone en bois pour homme, organisateur de bureau ou de chevet, cadeau d'anniversaire pour hommes, papa, idée d'anniversaire de femme - porte-clés, support COG: 6,12 / Price: 31,49";"B0FGJXKQFB";"PP0013";"14";"";"433,68";"";"-71,6";"-71,6";"";"";"";"";"";"";"-";"";"-153,69";"-85,68";"-68,70";"-8,55";"45,46";"45,46";"199,84";"";"10,48";"53,06";"59 036";"16,51";"303";"4,62";"30,98"
"Northstar Station d'accueil pour téléphone Portable en Bois - Organiseur de Bureau pour Mari, Cadeau d'anniversaire pour Homme ou père - Idée d'anniversaire - Porte-clé - Support pour Portefeuille COG: 5,5 / Price: 32,8";"B0DHH7P6QQ";"73-EFLH-T6DR";"12";"";"387,6";"";"";"";"";"";"";"";"";"";"-";"";"-121,81";"-66";"-64,58";"";"135,21";"135,21";"265,79";"";"34,88";"204,86";"126 620";"";"179";"6,70";"32,30"
"Northstar Support mural pour pistolet support mural affiche support de pistolet horizontal et crochets de fusil de chasse (Marron) COG: 4,48 / Price: 25,8";"B09J8W13DK";"UG-Y4LX-G244";"8";"";"202,39";"";"-14,07";"-14,07";"";"";"";"";"";"";"-";"";"-77,97";"-35,84";"-33,71";"-3,32";"37,48";"37,48";"107,03";"";"18,52";"104,58";"";"6,95";"119";"6,72";"25,30"
"Northstar Support mural pour pistolet support mural affiche support de pistolet horizontal et crochets de fusil de chasse (Café) COG: 4,48 / Price: 24,8";"B0B6WC5SST";"Y4-OT79-ACBA";"8";"";"198,4";"";"";"";"";"";"";"";"";"";"-";"";"-77,2";"-35,84";"-33,04";"";"52,32";"52,32";"121,2";"";"26,37";"145,98";"";"";"47";"17,02";"24,80"
"Northstar Supports pour arme | Crochets de Fusil de Chasse | porte fusils mural | Support arme de chasse fusil | Bois de frêne naturel avec un crochet en métal COG: 6,27 / Price: 33,8";"B0BTTHD99C";"AR0008";"6";"";"205,78";"";"-64,4";"-64,4";"";"";"";"";"";"";"-";"-0,47";"-67,96";"-37,62";"-34,32";"-6,60";"-5,59";"-5,59";"66,35";"";"-2,72";"-14,86";"";"31,30";"167";"3,59";"34,30"
"Northstar Chope à bière Viking 0.6 | Tasse à bière | Cadeau pour les Hommes | Cadeau Noël pour Homme | Shop de Biere | mug viking | chope a biere | Nordique COG: 6,98 / Price: 34,8";"B0CP2KD382";"BMP0011";"6";"";"205,79";"";"-3,3";"-3,3";"";"";"";"";"";"";"-";"";"-74,47";"-41,88";"-34,29";"";"49,34";"49,34";"125,51";"";"23,98";"117,81";"42 356";"1,60";"136";"4,41";"34,30"
"Northstar Support Mural pour Pistolet Support Mural Affiche Support de Pistolet Horizontal et Crochets de Fusil de Chasse Conception fourchue COG: 4,71 / Price: 26,8";"B09QMLXZ27";"ARBI01";"5";"";"127,99";"";"";"";"";"";"";"";"";"";"";"";"-51,19";"-23,55";"-21,32";"-3,32";"28,61";"28,61";"73,48";"";"22,35";"121,49";"";"";"56";"8,93";"25,60"
"Northstar Station d'accueil en bois pour téléphone,Porte-clés,Porte-monnaie,Organiseur de montre,Pour homme, mari, femme, anniversaire de mariage, papa, remise de diplôme,Gadget pour homme COG: 6,36 / Price: 26,24";"B09PNKKS78";"PP0001GS";"5";"";"149,95";"";"-87";"-87";"";"";"";"";"";"";"";"-6,36";"-69,92";"-31,8";"-25,00";"";"-70,13";"-70,13";"-6,97";"";"-46,77";"-220,53";"41 317";"58,02";"248";"2,02";"29,99"
"Planche de service à steak en bois 40 X 30 - Planche en bois de chêne À Découper En Bois - Plateau De Service Pour Barbecue - Durable Et De Qualité (XL) COG: 6 / Price: 30,76";"B09RX2WX88";"KB0003";"4";"";"119,93";"";"-1,42";"-1,42";"";"";"";"";"";"";"-";"";"-47,62";"-24";"-15,24";"-4,95";"26,70";"26,70";"65,94";"";"22,26";"111,25";"176 987";"1,18";"36";"11,11";"29,98"
"Northstar Cadeau Homme – Organisateur de Bureau en Bois avec Support Téléphone et Montre, Station d’Accueil, Docking Station, Support Montre, Idée Cadeau Papa Anniversaire, Fête des Pères, Noël - Noir COG: 6,12 / Price: 31,49";"B08YJLRHKX";"PP0004";"4";"";"124,95";"";"-60,19";"-60,19";"";"";"";"";"";"";"-";"";"-48,62";"-24,48";"-20,83";"-3,32";"-32,49";"-32,49";"12,82";"";"-26,00";"-132,72";"34 429";"48,17";"196";"2,04";"31,24"
"Organiseur Multifonctionnel de Noyer Naturel Crochets pour clés Montres Cadeaux pour Hommes Organisateur de Montre Organisateur de Montre pour Homme Cadeau de Mari Femme Anniversaire père (Marron) COG: 14,05 / Price: 32,8";"B0881MZGCF";"CJ-HT4E-OKZV";"4";"2";"131,2";"";"-6,48";"-6,48";"";"";"";"";"";"50,00";"-";"-29,43";"-48,27";"-56,2";"-10,94";"";"-20,12";"-20,12";"18,92";"";"-15,34";"-35,80";"36 332";"4,94";"39";"10,26";"32,80"
"Support Mural pour Pistolet Support Mural Affiche Support de Pistolet Horizontal et Crochets de Fusil de Chasse Crochet en métal (Wenge) COG: 5,85 / Price: 28,8";"B09QMK4HZF";"ARM0001";"3";"";"98,4";"";"";"";"";"";"";"";"";"";"-";"";"-29,34";"-17,55";"-16,41";"";"35,10";"35,10";"69,06";"";"35,67";"200,00";"";"";"19";"15,79";"32,80"
"Northstar Station d'accueil pour téléphone en bois avec tiroir – Organiseur de table de nuit – Organisateur de bureau pour mari – Cadeaux d'anniversaire pour hommes, papa, idée d'anniversaire, support COG: 10,62 / Price: 42,8";"B0F2T5SPFZ";"PPD004";"2";"";"79,93";"";"-1,74";"-1,74";"";"";"";"";"";"";"-";"";"-24,88";"-21,24";"-13,33";"-1,91";"16,83";"16,83";"51,4";"";"21,06";"79,24";"49 434";"2,18";"39";"5,13";"39,97"
"Northstar Cadeau Homme Organisateur de Bureau Bois Cadeau Fete des Peres Support Telephone Bureau Support Montre Anniversaire Homme Support Porte Monnaie (Marron) COG: 12,78 / Price: 30,49";"B07VC6GXYT";"SQ-H3G9-2L92";"2";"";"60,29";"";"-27,68";"-27,68";"";"";"";"";"";"";"-";"";"-21,48";"-25,56";"-10,05";"";"-24,48";"-24,48";"11,13";"";"-40,60";"-95,77";"34 429";"45,91";"63";"3,17";"30,15"
"Northstar Station d'accueil pour téléphone en bois avec tiroir, organisateur de table de chevet, organisateur de bureau pour mari, cadeau d'anniversaire pour homme, papa, idée d'anniversaire, porte-clés COG: 10,62 / Price: 42,8";"B0F2T8BPK5";"PPD005";"1";"";"38,8";"";"-0,59";"-0,59";"";"";"";"";"";"";"-";"";"-25,21";"-10,62";"-6,47";"";"-4,09";"-4,09";"13";"";"-10,54";"-38,51";"49 434";"1,52";"22";"4,55";"38,80"
"Northstar Station de docking pour téléphone en bois avec tiroir – Organiseur de table de chevet – Organiseur de bureau pour mari – Idées de cadeau d’anniversaire pour homme, papa, idée de fête COG: 10,62 / Price: 41,8";"B0F2TDHQ83";"PPD006";"1";"";"37,8";"";"-11,86";"-11,86";"";"";"";"";"";"";"-";"";"-15,03";"-10,62";"-6,30";"";"-6,01";"-6,01";"10,91";"";"-15,90";"-56,59";"374 778";"31,38";"62";"1,61";"37,80"
"Planche À Découper En Bois 30 X 20 Plateau De Service En Bois De Chêne Massif Plaque De Découpage Épaisse Naturelle Pour Barbecue - Durable Et De Qualité (M) COG: 3,5 / Price: 21,99";"B0B1DMS4YK";"KB0001";"1";"";"22,99";"";"-2,5";"-2,5";"";"";"";"";"";"";"-";"";"-9,51";"-3,5";"-3,83";"";"3,65";"3,65";"10,98";"";"15,88";"104,29";"176 987";"10,87";"35";"2,86";"22,99"
"Planche À Découper En Bois 35 X 25 Plateau De Service En Bois De Chêne Massif Plaque De Découpage Épaisse Naturelle Pour Barbecue - Durable Et De Qualité (L) COG: 4,73 / Price: 25,25";"B08YKGCV8F";"KB0002";"1";"";"28,25";"";"-19,2";"-19,2";"";"";"";"";"";"";"-";"";"-10,59";"-4,73";"-4,71";"";"-10,98";"-10,98";"-1,54";"";"-38,87";"-232,14";"176 987";"67,96";"53";"1,89";"28,25"
"Northstar Station d'accueil pour téléphone Portable en Bois - Organiseur de Bureau pour Mari, Cadeau d'anniversaire pour Homme ou père - Idée d'anniversaire - Porte-clé - Support pour Portefeuille COG: 0 / Price: 43,18";"B0DHH7P6QQ";"G4-DZI9-VU2J";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"126 620";"";"42";"";""
"Northstar Cadeau Homme Organisateur de Bureau Bois Cadeau Fete des Peres Support Telephone Bureau Support Montre Anniversaire Homme Support Porte Monnaie (Marron) COG: 0 / Price: 0";"B07VC6GXYT";"14-0XE4-GZ9F";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"34 429";"";"3";"";""
"MFC Lot de 4 cuillères de cuisine en bois de noyer – Ensemble de spatules – Ustensiles en bois multifonction pour mélanger, mélanger, servir COG: 8,21 / Price: 25";"B08YMTSV1B";"KU0002";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0,35";"";"";"";"-0,35";"-0,35";"-0,35";"";"";"";"951 669";"";"";"";""
"MyFancyCraft Lot de 6 tasses à bière de 300 ml – Tasse à café – Chope de bière en bois – Tasse à bière en bois – Tasse en acier inoxydable – Cadeau fait à la main pour homme – Idée cadeau pour la fête COG: 31,8 / Price: 105,79";"B07C779YC5";"S9-ZHU4-EDM5";"";"";"";"";"-10,81";"-10,81";"";"";"";"";"";"";"-";"";"";"";"";"";"-10,81";"-10,81";"-10,81";"";"";"";"";"";"29";"";""
"Support Mural pour Pistolet Support Mural Affiche Support de Pistolet Horizontal et Crochets de Fusil de Chasse Crochet en métal (Wenge) COG: 5,85 / Price: 32,8";"B09QMK4HZF";"ARM001";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"21";"";""
"Wooden Steak Board 12 x 8 - Solid Oak Cutting Board - Durable Serving Board for Burger, Cheese, Barbecue - Thick Meat Platter - Natural Chopping Board - Steak Plate (Small) COG: 8,85 / Price: 20,99";"B07QS323RP";"5L-OS15-NL0S";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"";""
"Northstar Holz Doppelte Telefon Dockingstation Nussbaum Geldbörsenständer Schlüsselhalter & Uhren Organisator Herren Weihnachten Geschenk Ehemann Ehefrau Vater Geburtstag Vater Mann Gadgets (Bronze) COG: 0 / Price: 56,8";"B084G88WDC";"FW-DHFX-U2R4";"";"";"";"";"-8,1";"-8,1";"";"";"";"";"";"";"-";"";"";"";"";"";"-8,10";"-8,10";"-8,1";"";"";"";"";"";"31";"";""
"Snijplank van hout, 35 x 25 cm, steakbord, snijplank voor het serveren van vlees, voor burgers, kaas, grill, friet, dienblad van hout, keukenplank, accessoires voor de keuken COG: 0 / Price: 23";"B0BQCSFHQH";"KB0004";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";""
"MyFancyCraft Bierkrug, Holz-Bierkrug, Edelstahlbecher, Handgefertigte Geschenke für Männer, Vatertag, Weihnachten oder Geburtstag, Braun, 6 Stück COG: 50 / Price: 149,8";"B01M2ZSZNF";"KO-AAPH-S3H1";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";""
"Northstar Station d'accueil de téléphone en bois avec tiroir – Organiseur de table de nuit – Organisateur de bureau pour mari – Cadeaux d'anniversaire pour homme, papa, anniversaire de mariage COG: 9,51 / Price: 40,8";"B0DQQCZGLP";"PPD007";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";""
"Northstar Support mural pour pistolet support mural affiche support de pistolet horizontal et crochets de fusil de chasse (Marron) COG: 10,14 / Price: 32,8";"B09J8W13DK";"EG-RY08-XTU8";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";""
"Northstar Support mural pour pistolet support mural affiche support de pistolet horizontal et crochets de fusil de chasse (Café) COG: 4,48 / Price: 24,52";"B0B6WC5SST";"XV-BOT3-21US";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"";""
"Northstar Support mural pour pistolet support mural affiche support de pistolet horizontal et crochets de fusil de chasse (Marron) COG: 10,14 / Price: 25,14";"B09J8W13DK";"DC-9UBV-6D8X";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";""
"Amazon.nl";"";"";"28";"5";"848,76";"";"-23,34";"-23,34";"";"";"";"";"";"17,86";"66,67";"-101,41";"-266,42";"-185,08";"-122,80";"-4,90";"142,32";"81,59";"427,37";"-60,73";"9,61";"44,08";"112 805";"2,75";"495";"5,66";"30,31"
"Handgemaakte Bierpul Eikenhouten Roestvrijstalen Beker Natuurlijk Eco-vriendelijk 0,6 liter 20 ounces Barrel Brown COG: 6,54 / Price: 28,8";"B01LNOBGRM";"3I-GOR9-I5Y7";"4";"1";"120,19";"";"-8,17";"-8,17";"";"";"";"";"";"25,00";"";"-26,22";"-37,45";"-26,16";"-15,69";"-2,43";"4,07";"4,07";"45,92";"";"3,39";"15,56";"58 110";"6,80";"34";"11,76";"30,05"
"Northstar Viking Biermok Tankard voor mannen - 0,6 liter 20 oz Handgemaakte eikenhouten roestvrijstalen beker authentiek ontwerp kerstcadeau | Verjaardagscadeau|Geschenken voor mannen Vaderdag cadeau COG: 7,44 / Price: 30,8";"B0BRSMB6M9";"BMT003";"4";"";"119,2";"";"-6,63";"-6,63";"";"";"";"";"";"";"-";"";"-37,12";"-29,76";"-20,68";"";"25,01";"25,01";"75,45";"";"20,98";"84,04";"20 945";"5,56";"74";"5,41";"29,80"
"Houten Telefoon Docking Station Sleutelhouder Portemonnee Stand Horloge Organizer Mannen Cadeau Echtgenoot Echtgenote Vader Verjaardag Portemonnee Mannelijk Gadgets Massief As (Diep bruin) COG: 6,36 / Price: 25,99";"B09PNKKS78";"PP0001GS";"4";"1";"103,96";"";"";"";"";"";"";"";"";"25,00";"-";"-16,51";"-33,6";"-25,44";"-13,53";"";"14,88";"14,88";"47,49";"";"14,31";"58,49";"33 838";"";"18";"22,22";"25,99"
"Northstar Vikingmok, 0,6 liter, houten bierpul met levensboom, gravure, biercadeau, Vikingkelk, middeleeuwse beker, bierpull, cadeau voor bierliefhebbers, vaderdagcadeau (boom, bruin) COG: 7,01 / Price: 29,8";"B0CP2C594Q";"BMP0010";"3";"1";"89,4";"";"";"";"";"";"";"";"";"33,33";"-";"-19,21";"-26,58";"-21,03";"-10,34";"";"12,24";"12,24";"36,6";"";"13,69";"58,20";"50 783";"";"22";"13,64";"29,80"
"Steakplank van hout, 16 x 12 cm, biefstuk serveerplank, massief eiken, snijplank, steaksnijplank, steakschaal, natuurlijke snijplank (extra groot) COG: 6 / Price: 32,8";"B09RX2WX88";"KB0003";"3";"";"98,4";"";"";"";"";"";"";"";"";"";"-";"";"-29,22";"-18";"-17,07";"";"34,11";"34,11";"69,18";"";"34,66";"189,50";"37 466";"";"9";"33,33";"32,80"
"Handgemaakte Bierpul Eikenhout Roestvrijstalen Beker Natuurlijk Milieuvriendelijk Houten Bierpul 0,6L 20oz Klassiek Bruin (Retro 20 oz / 0,6l) COG: 6,59 / Price: 28,8";"B01LYB4PKO";"69-YT0R-2WCS";"2";"";"55,13";"";"-5,52";"-5,52";"";"";"";"";"";"";"-";"";"-20,9";"-13,18";"-9,57";"";"5,96";"5,96";"28,71";"";"10,81";"45,22";"28 336";"10,01";"45";"4,44";"27,57"
"Northstar Wapenrek Wandmontage Houdt Horizontale Wapenrek en Jachtgeweerhaken Op Berging Geweer Jachtgeweer Boog Echte Hardhouten Hanger Metaal (Wenge) COG: 5,85 / Price: 27,99";"B09QMK4HZF";"ARM001";"2";"";"59,4";"";"";"";"";"";"";"";"";"";"-";"";"-14,94";"-11,7";"-10,31";"";"22,45";"22,45";"44,46";"";"37,79";"191,88";"7 259";"";"14";"14,29";"29,70"
